id,name,nationality,position,age,birth_year,value,height
1496,Giangiacomo Magnani,it ITA,"DF,MF",23,1995,3000000,191
1530,Massimiliano Mangraviti,it ITA,DF,21,1998,20000,188
1557,Bruno Martella,it ITA,"DF,MF",26,1992,1000000,183
1585,Ales Mateju,cz CZE,DF,23,1996,1500000,185
1590,Alessandro Matri,it ITA,"FW,MF",34,1984,300,183
1710,Leonardo Morosini,it ITA,"FW,MF",23,1995,80000,175
1770,Emanuele Ndoj,al ALB,MF,22,1996,2000000,189
1889,Andrea Papetti,it ITA,DF,17,2002,50000,186
2155,RĂ´mulo,it ITA,MF,32,1987,1000000,178
2191,Stefano Sabelli,it ITA,DF,26,1993,1000000,176
2291,Alessandro Semprini,it ITA,DF,21,1998,20000,183
2343,Simon Skrabb,fi FIN,"MF,FW",24,1995,2000000,174
2380,Nikolas Ĺ palek,sk SVK,"MF,FW",22,1997,2000000,171
2502,Sandro Tonali,it ITA,MF,19,2000,31000000,181
2506,Ernesto Torregrossa,it ITA,FW,27,1992,2000000,184
2533,Luca Tremolada,it ITA,MF,27,1991,72500,176
2618,Mattia Viviani,it ITA,MF,18,2000,35000,183
2719,JaromĂ­r Zmrhal,cz CZE,MF,25,1993,2500000,189
142,Mathias Autret,fr FRA,"MF,FW",28,1991,2000000,175
152,Ludovic Baal,gf GUF,DF,33,1986,32500,176
164,DĂ©nys Bain,fr FRA,DF,26,1993,2000000,181
220,Cristian Battocchio,it ITA,MF,27,1992,1000000,177
233,GaĂ«tan Belaud,fr FRA,DF,32,1986,40000,177
235,Haris Belkebla,dz ALG,MF,25,1994,1000000,177
451,Irvin Cardona,fr FRA,"FW,MF",21,1997,4000000,185
467,Jean-Charles Castelletto,cm CMR,DF,24,1995,2000000,185
494,GaĂ«tan Charbonnier,fr FRA,"FW,MF",30,1988,2000000,188
495,Brendan Chardonnet,fr FRA,DF,24,1994,65000,185
577,Yoann Court,fr FRA,"FW,MF",29,1990,1000000,172
678,Ibrahima Diallo,fr FRA,MF,20,1999,9000000,179
752,Jean-Kevin Duverne,fr FRA,DF,22,1997,1000000,184
821,Julien Faussurier,fr FRA,DF,32,1987,80000,173
997,Samuel Grandsir,fr FRA,"FW,MF",22,1996,2000000,170
1366,Gautier Larsonneur,fr FRA,GK,22,1997,5000000,181
1369,Paul Lasne,fr FRA,"MF,FW",30,1989,1000000,186
1403,Donovan LĂ©on,gf GUF,GK,26,1992,32500,187
1498,Hugo Magnetti,fr FRA,MF,21,1998,52500,172
1633,Alexandre Mendy,gw GNB,"FW,MF",25,1994,1000000,184
1751,Ferris N'Goma,fr FRA,"FW,MF",26,1993,55000,175
1956,Romain Perraud,fr FRA,DF,21,1997,2000000,173
71,Steven Alzate,co COL,"MF,DF",20,1998,2000000,180
87,Florin Andone,ro ROU,"MF,FW",26,1993,3000000,180
283,Bernardo,br BRA,DF,24,1995,4800000,186
300,Yves Bissouma,ml MLI,MF,22,1996,9000000,182
324,GaĂ«tan Bong,cm CMR,"MF,DF",31,1988,80000,183
392,Dan Burn,eng ENG,DF,27,1992,5000000,201
546,Aaron Connolly,ie IRL,FW,19,2000,4000000,175
743,Shane Duffy,ie IRL,DF,27,1992,9000000,193
748,Lewis Dunk,eng ENG,DF,27,1991,16000000,192
1014,Pascal GroĂź,de GER,"FW,MF",28,1991,9000000,181
1173,Alireza Jahanbakhsh,ir IRN,"FW,MF",25,1993,6000000,180
1356,Tariq Lamptey,eng ENG,DF,18,2000,3000000,164
1435,JĂĽrgen Locadia,nl NED,"MF,FW",25,1993,8000000,185
1490,Alexis Mac Allister,ar ARG,"MF,FW",20,1998,11000000,174
1539,Solly March,eng ENG,"DF,FW",25,1994,6000000,180
1593,Neal Maupay,fr FRA,FW,22,1996,17000000,173
1693,MartĂ­n Montoya,es ESP,DF,28,1991,6000000,175
1695,Aaron Mooy,au AUS,"MF,FW",28,1990,9000000,179
1738,Glenn Murray,eng ENG,FW,35,1983,1000000,186
2026,Davy PrĂ¶pper,nl NED,MF,27,1991,13000000,185
2185,Mathew Ryan,au AUS,GK,27,1992,8000000,184
2263,Ezequiel Schelotto,it ITA,DF,30,1989,1000000,187
2396,Dale Stephens,eng ENG,MF,30,1989,4000000,185
2540,Leandro Trossard,be BEL,"FW,MF",24,1994,13000000,172
2649,Adam Webster,eng ENG,DF,24,1995,12000000,190
191,Phil Bardsley,sco SCO,DF,34,1985,80000,180
198,Ashley Barnes,eng ENG,FW,29,1989,8000000,186
272,JĂłhann Berg GuĂ°mundsson,is ISL,MF,28,1990,6500000,186
352,Robbie Brady,ie IRL,MF,27,1992,4000000,176
372,Josh Brownhill,eng ENG,MF,23,1995,5000000,179
558,Jack Cork,eng ENG,MF,30,1989,8000000,185
732,Danny Drinkwater,eng ENG,MF,29,1990,4000000,177
1073,Jeff Hendrick,ie IRL,MF,27,1992,9000000,185
1400,Aaron Lennon,eng ENG,MF,32,1987,2000000,165
1440,Kevin Long,ie IRL,DF,28,1990,1000000,188
1465,Matthew Lowton,eng ENG,DF,30,1989,4000000,180
1616,Dwight McNeil,eng ENG,MF,19,1999,18000000,183
1620,Ben Mee,eng ENG,DF,29,1989,8000000,180
1981,Erik Pieters,nl NED,"DF,MF",30,1988,4000000,183
2006,Nick Pope,eng ENG,GK,27,1992,12000000,191
2140,Jay Rodriguez,eng ENG,FW,30,1989,6000000,184
2448,James Tarkowski,eng ENG,DF,26,1992,20000000,185
2451,Charlie Taylor,eng ENG,DF,25,1993,4000000,176
2629,MatÄ›j Vydra,cz CZE,FW,27,1992,4000000,180
2657,Ashley Westwood,eng ENG,MF,29,1990,5000000,174
2677,Chris Wood,nz NZL,FW,27,1991,14000000,191
298,Valter Birsa,si SVN,MF,32,1986,1000000,184
407,Fabrizio Cacciatore,it ITA,DF,32,1986,80000,182
450,Andrea Carboni,it ITA,"DF,MF",18,2001,30000,185
471,Lucas Castro,ar ARG,MF,30,1989,3000000,182
482,Luca Ceppitelli,it ITA,DF,29,1989,2000000,186
484,Alberto Cerri,it ITA,FW,23,1996,3000000,194
516,Luca Cigarini,it ITA,MF,33,1986,80000,175
581,Alessio Cragno,it ITA,GK,25,1994,16000000,184
640,Alessandro Deiola,it ITA,MF,23,1995,95000,190
816,Paolo FaragĂ˛,it ITA,DF,26,1993,4000000,187
903,Luca Gagliano,it ITA,FW,19,2000,20000,0
1161,Artur IoniČ›Ä,md MDA,MF,28,1990,2500000,184
1279,Ragnar Klavan,ee EST,DF,33,1985,1000000,187
1345,Riccardo Ladinetti,it ITA,MF,18,2000,35000,182
1488,Charalambos Lykogiannis,gr GRE,DF,25,1993,1400000,190
1549,Federico Marigosu,it ITA,MF,18,2001,25000,0
1591,Federico Mattiello,it ITA,DF,24,1995,1000000,184
1757,Radja Nainggolan,be BEL,"MF,FW",31,1988,16000000,176
1760,Nahitan NĂˇndez,uy URU,"MF,DF",23,1995,21000000,172
1830,Christian Oliva,uy URU,MF,23,1996,4000000,178
1838,Robin Olsen,se SWE,GK,29,1990,6000000,196
1884,Alberto Paloschi,it ITA,"FW,MF",29,1990,1000000,183
1910,Leonardo Pavoletti,it ITA,FW,30,1988,4000000,188
1920,JoĂŁo Pedro,br BRA,"FW,MF",27,1992,14000000,184
1928,Luca Pellegrini,it ITA,DF,20,1999,13000000,178
1941,GastĂłn Pereiro,uy URU,"MF,FW",24,1995,8000000,188
1984,Simone Pinna,it ITA,DF,21,1997,20000,172
1989,Fabio Pisacane,it ITA,DF,33,1986,1000000,178
2048,Rafael,br BRA,GK,37,1982,200,187
2052,Daniele Ragatzu,it ITA,"MF,FW",27,1991,32500,172
2145,Marko Rog,hr CRO,MF,24,1995,13000000,180
2324,Giovanni Simeone,ar ARG,FW,24,1995,13000000,181
2641,Sebastian Walukiewicz,pl POL,DF,19,2000,3000000,188
30,Joseph Aidoo,gh GHA,DF,23,1995,6000000,184
67,Sergio Ălvarez,es ESP,GK,32,1986,1000000,179
114,NĂ©stor Araujo,mx MEX,DF,27,1991,7000000,188
131,Iago Aspas,es ESP,FW,31,1987,16000000,176
242,Fran BeltrĂˇn,es ESP,MF,20,1999,13000000,172
280,Sergio Bermejo,es ESP,FW,21,1997,20000,170
304,RubĂ©n Blanco,es ESP,GK,24,1995,8000000,188
351,Filip BradariÄ‡,hr CRO,MF,27,1992,3200000,186
500,Pape Cheikh Diop,sn SEN,MF,21,1997,4000000,180
573,David Costas,es ESP,DF,24,1995,1000000,184
844,Gabriel FernĂˇndez,uy URU,"FW,MF",25,1994,2000000,186
1083,Juan HernĂˇndez,es ESP,"FW,MF",24,1994,65000,177
1220,David JuncĂ ,es ESP,DF,25,1993,1000000,178
1433,Stanislav Lobotka,sk SVK,MF,24,1994,16000000,172
1458,Iker Losada,es ESP,"MF,FW",17,2001,30000,175
1517,Hugo Mallo,es ESP,DF,28,1991,7000000,174
1630,Brais MĂ©ndez,es ESP,"MF,FW",22,1997,12000000,184
1666,Santi Mina,es ESP,"FW,MF",23,1995,14000000,181
1737,Jeison Murillo,co COL,DF,27,1992,6000000,182
1803,Nolito,es ESP,"FW,MF",32,1986,1500000,175
1828,Lucas Olaza,uy URU,DF,25,1994,3000000,176
2051,Rafinha,br BRA,MF,26,1993,9500000,174
2196,Jorge SĂˇenz,es ESP,"DF,FW",22,1996,1000000,190
2336,Pione Sisto,dk DEN,"FW,MF",24,1995,4000000,172
2353,Fyodor Smolov,ru RUS,FW,29,1990,6000000,186
2413,Denis SuĂˇrez,es ESP,"MF,FW",25,1994,9000000,176
2583,Kevin VĂˇzquez,es ESP,DF,26,1993,80000,175
2613,IvĂˇn Villar,es ESP,GK,22,1997,30000,189
2685,Okay YokuĹźlu,tr TUR,MF,25,1994,6000000,191
7,Tammy Abraham,eng ENG,FW,21,1997,40000000,191
65,Marcos Alonso,es ESP,DF,28,1990,20000000,188
97,Faustino Anjorin,eng ENG,FW,17,2001,2000000,186
125,Kepa Arrizabalaga,es ESP,GK,24,1994,36000000,186
151,CĂ©sar Azpilicueta,es ESP,DF,29,1989,24000000,178
196,Ross Barkley,eng ENG,MF,25,1993,21000000,185
219,Michy Batshuayi,be BEL,FW,25,1993,17000000,184
401,Willy Caballero,ar ARG,GK,37,1981,60000,186
512,Andreas Christensen,dk DEN,DF,23,1996,24000000,188
953,Billy Gilmour,sco SCO,MF,18,2001,5000000,170
957,Olivier Giroud,fr FRA,FW,32,1986,7000000,193
1121,Callum Hudson-Odoi,eng ENG,FW,18,2000,31000000,177
1179,Reece James,eng ENG,DF,19,1999,22000000,182
1209,Jorginho,it ITA,MF,27,1991,50000000,180
1245,N'Golo KantĂ©,fr FRA,MF,28,1991,80000000,168
1315,Mateo Kovacic,hr CRO,MF,25,1994,45000000,177
1355,Tariq Lamptey,eng ENG,DF,18,2000,3000000,164
1438,Ruben Loftus-Cheek,eng ENG,"MF,FW",23,1996,24000000,191
1716,Mason Mount,eng ENG,"MF,FW",20,1999,40000000,178
1882,Emerson Palmieri,it ITA,DF,24,1994,18000000,181
1919,Pedro,es ESP,FW,32,1987,7500000,167
2031,Christian Pulisic,us USA,FW,20,1998,54000000,172
2174,Antonio RĂĽdiger,de GER,DF,26,1993,40000000,190
2500,Fikayo Tomori,eng ENG,DF,21,1997,16000000,184
2666,Willian,br BRA,FW,30,1988,19000000,175
2722,Kurt Zouma,fr FRA,DF,24,1994,28000000,190
0,Patrick van Aanholt,nl NED,DF,28,1990,9000000,176
148,Jordan Ayew,gh GHA,"FW,MF",27,1991,6000000,182
264,Christian Benteke,be BEL,FW,28,1990,10000000,190
413,Gary Cahill,eng ENG,DF,33,1985,4000000,193
429,VĂ­ctor Camarasa,es ESP,MF,25,1994,4000000,183
618,Scott Dann,eng ENG,DF,32,1987,2000000,194
1017,Vicente Guaita,es ESP,GK,32,1987,4000000,190
1074,Wayne Hennessey,wal WAL,GK,32,1987,2000000,197
1260,Martin Kelly,eng ENG,DF,29,1990,2000000,191
1314,Cheikhou KouyatĂ©,sn SEN,"MF,DF",29,1989,8000000,189
1607,James McArthur,sco SCO,MF,31,1987,4000000,178
1610,James McCarthy,ie IRL,MF,28,1990,2000000,180
1652,Max Meyer,de GER,"MF,FW",23,1995,7000000,173
1663,Luka MilivojeviÄ‡,rs SRB,MF,28,1991,16000000,186
1674,Tyrick Mitchell,eng ENG,DF,19,1999,5000000,175
1980,Brandon Pierrick,eng ENG,"DF,FW",17,2001,250,182
2106,JaĂŻro Riedewald,nl NED,"DF,MF",22,1996,4500000,182
2205,Mamadou Sakho,fr FRA,DF,29,1990,9000000,187
2270,Jeffrey Schlupp,gh GHA,"MF,DF",26,1992,9000000,178
2499,James Tomkins,eng ENG,DF,30,1989,4000000,192
2514,Cenk Tosun,tr TUR,FW,28,1991,12000000,183
2519,Andros Townsend,eng ENG,MF,28,1991,12000000,181
2644,Joel Ward,eng ENG,DF,29,1989,3200000,186
2658,Connor Wickham,eng ENG,"FW,MF",26,1993,1000000,189
2697,Wilfried Zaha,ci CIV,"MF,FW",26,1992,44000000,180
81,Opoku Ampomah,gh GHA,FW,23,1996,1300000,175
149,Kaan Ayhan,tr TUR,DF,24,1994,7000000,185
168,Lewis Baker,eng ENG,MF,24,1995,2000000,182
197,Aymen Barkok,ma MAR,"FW,MF",21,1998,1000000,188
279,Valon Berisha,xk KVX,"MF,FW",26,1993,4000000,176
315,Adam Bodzek,de GER,MF,33,1985,32500,184
332,Robin Bormuth,de GER,DF,23,1995,1000000,190
852,Oliver Fink,de GER,"MF,FW",37,1982,25000,187
950,Niko GieĂźelmann,de GER,DF,27,1991,2000000,182
1075,Rouwen Hennings,de GER,FW,31,1987,2000000,180
1101,AndrĂ© Hoffmann,de GER,DF,26,1993,2500000,188
1226,Mathias JĂ¸rgensen,dk DEN,DF,29,1990,2000000,189
1248,Kenan Karaman,tr TUR,FW,25,1994,2000000,189
1251,Florian Kastenmeier,de GER,GK,22,1997,65000,192
1316,Dawid Kownacki,pl POL,"FW,MF",22,1997,4000000,186
1697,Alfredo Morales,us USA,MF,29,1990,2000000,183
1808,Kasim Nuhu,gh GHA,DF,24,1995,2500000,190
1824,Kelvin Ofori,gh GHA,"MF,FW",18,2001,30000,172
1996,Thomas Pledl,de GER,"DF,MF",25,1994,80000,174
2345,Steven Skrzybski,de GER,"FW,MF",26,1992,1000000,174
2359,Marcel Sobottka,de GER,MF,25,1994,2000000,185
2395,Zack Steffen,us USA,GK,24,1995,6000000,191
2403,Kevin StĂ¶ger,at AUT,MF,25,1993,4000000,175
2428,Markus Suttner,at AUT,"DF,MF",32,1987,80000,179
2457,Bernard Tekpetey,gh GHA,"FW,MF",21,1997,1000000,172
2480,Erik Thommy,de GER,"DF,FW",24,1994,4000000,175
2712,Jean Zimmer,de GER,"DF,MF",25,1993,1000000,172
2714,Matthias Zimmermann,de GER,"DF,MF",27,1992,4000000,177
25,Nayef Aguerd,ma MAR,DF,23,1996,2000000,188
57,RĂşnar Alex RĂşnarsson,is ISL,GK,24,1995,1000000,186
66,MickaĂ«l Alphonse,GPE,DF,30,1989,72500,182
74,Romain Amalfitano,fr FRA,MF,29,1989,1000000,175
179,Florent Balmont,fr FRA,MF,39,1980,25000,168
267,Yassine Benzia,dz ALG,MF,24,1994,1000000,178
410,Jhonder CĂˇdiz,ve VEN,"FW,MF",24,1995,2000000,190
487,Fouad Chafik,ma MAR,DF,32,1986,65000,183
511,Mounir Chouiar,fr FRA,"MF,FW",20,1999,7000000,180
576,Senou Coulibaly,ml MLI,DF,24,1994,80000,193
756,Bruno Ecuele Manga,ga GAB,DF,31,1988,2000000,186
979,Alfred Gomis,sn SEN,GK,25,1993,2000000,196
1137,Didier Ibrahim Ndong,ga GAB,MF,25,1994,3500000,179
1190,Benjamin Jeannot,fr FRA,MF,27,1992,1000000,183
1256,Jules Keita,gn GUI,"MF,FW",21,1998,1000000,168
1373,Wesley Lautoa,nc NCL,"MF,DF",31,1987,1000000,184
1439,Enzo Loiodice,fr FRA,MF,18,2000,4000000,176
1548,Jordan MariĂ©,fr FRA,MF,27,1991,80000,177
1594,Stephy Mavididi,eng ENG,"FW,MF",21,1998,3000000,183
1638,Hamza Mendyl,ma MAR,DF,21,1997,2000000,179
1783,Muzinga Ngonda,cd COD,DF,25,1993,400,182
1969,Rayan Philippe,fr FRA,"DF,FW",18,2000,700,177
2218,Mama Samba BaldĂ©,gw GNB,"FW,MF",23,1995,3500000,181
2220,FrĂ©dĂ©ric Sammaritano,fr FRA,"MF,FW",33,1986,32500,162
2319,Matheus Pereira da Silva,br BRA,"MF,FW",21,1998,1000000,183
2376,Bryan SoumarĂ©,fr FRA,"MF,FW",20,1999,72500,180
2450,JĂşlio Tavares,cv CPV,FW,30,1988,2200000,187
36,Manuel Akanji,ch SUI,DF,24,1995,20000000,187
49,Paco AlcĂˇcer,es ESP,FW,25,1993,28000000,175
176,Leonardo Balerdi,ar ARG,"DF,MF",20,1999,7000000,187
357,Julian Brandt,de GER,"MF,FW",23,1996,40000000,185
378,Jacob Bruun Larsen,dk DEN,FW,20,1998,11000000,183
391,Roman BĂĽrki,ch SUI,GK,28,1990,11000000,187
436,Emre Can,de GER,"MF,DF",25,1994,26000000,186
611,Mahmoud Dahoud,de GER,MF,23,1996,6000000,178
644,Thomas Delaney,dk DEN,MF,27,1991,17000000,182
992,Mario GĂ¶tze,de GER,FW,27,1992,10000000,176
1023,RaphaĂ«l Guerreiro,pt POR,DF,25,1993,28000000,170
1050,Achraf Hakimi,ma MAR,"DF,FW",20,1998,54000000,181
1051,Erling HĂĄland,no NOR,FW,19,2000,72000000,194
1066,Thorgan Hazard,be BEL,"FW,MF",26,1993,32000000,175
1100,Marwin Hitz,ch SUI,GK,31,1987,2000000,194
1123,Mats Hummels,de GER,DF,30,1988,24000000,191
1705,Mateu Morey,es ESP,"DF,FW",19,2000,3000000,173
1990,Lukasz Piszczek,pl POL,DF,34,1985,2000000,184
2068,Tobias Raschl,de GER,MF,19,2000,90000,177
2093,Marco Reus,de GER,"MF,FW",30,1989,32000000,180
2095,Gio Reyna,us USA,"MF,FW",16,2002,30000000,185
2234,Jadon Sancho,eng ENG,"FW,MF",19,2000,117000000,180
2272,Marcel Schmelzer,de GER,DF,31,1988,1000000,180
2282,Nico Schulz,de GER,DF,26,1993,16000000,180
2651,Julian Weigl,de GER,"MF,DF",23,1995,18000000,186
2673,Axel Witsel,be BEL,MF,30,1989,21000000,188
2695,Dan-Axel Zagadou,fr FRA,DF,20,1999,31000000,196
68,Sergio Ălvarez,es ESP,"MF,DF",27,1992,1000000,179
94,JosĂ© Ăngel,es ESP,DF,29,1989,3000000,182
116,Anaitz Arbilla,es ESP,DF,32,1987,1000000,178
133,Miguel Atienza,es ESP,MF,0,0,15000,186
292,Pedro Bigas,es ESP,DF,28,1990,1000000,181
306,Pablo de Blasis,ar ARG,"DF,MF",31,1988,1000000,165
386,Esteban Burgos,ar ARG,DF,27,1992,72500,191
496,Charles,br BRA,FW,35,1984,500,179
564,Rober Correa,es ESP,DF,26,1992,600,180
586,SebastiĂˇn CristĂłforo,uy URU,MF,25,1993,1000000,173
696,Papakouli Diop,sn SEN,MF,33,1986,800,180
706,Marko DmitroviÄ‡,rs SRB,GK,27,1992,10000000,194
779,Sergi Enrich,es ESP,FW,29,1990,2000000,181
783,Gonzalo Escalante,ar ARG,MF,26,1993,3000000,182
797,Edu ExpĂłsito,es ESP,MF,22,1996,3000000,178
1160,Takashi Inui,jp JPN,"MF,FW",31,1988,2000000,169
1268,Kike,es ESP,FW,29,1989,2400000,186
1404,Pedro LeĂłn,es ESP,"MF,FW",32,1986,1000000,183
1543,Miguel MarĂ­,es ESP,MF,22,1997,25000,185
1833,Paulo Oliveira,pt POR,DF,27,1992,4000000,187
1847,FabiĂˇn Orellana,cl CHI,"MF,FW",33,1986,1000000,171
2039,Quique,es ESP,FW,29,1990,800,177
2060,IvĂˇn Ramis,es ESP,DF,34,1984,65000,189
2357,Rafa Soares,pt POR,"DF,MF",24,1995,2000000,178
2456,Ălvaro Tejero,es ESP,DF,23,1996,2000000,174
6,David Abraham,ar ARG,DF,33,1986,1000000,188
492,Timothy Chandler,us USA,"DF,MF",29,1990,2000000,186
568,Danny da Costa,de GER,"DF,MF",26,1993,8000000,187
719,Bas Dost,nl NED,FW,30,1989,5500000,196
749,Erik Durm,de GER,DF,27,1992,1500000,183
811,Simon Falette,gn GUI,DF,27,1992,2000000,185
838,Gelson Fernandes,ch SUI,MF,32,1986,1000000,180
902,Mijat GaÄ‡inoviÄ‡,rs SRB,"MF,FW",24,1995,6000000,175
1044,Jonathan de GuzmĂˇn,nl NED,"MF,FW",31,1987,1000000,173
1060,Makoto Hasebe,jp JPN,"DF,MF",35,1984,80000,180
1098,Martin Hinteregger,at AUT,DF,26,1992,14000000,184
1152,Stefan Ilsanker,at AUT,"DF,MF",30,1989,2000000,189
1216,Dejan JoveljiÄ‡,rs SRB,FW,19,1999,3600000,182
1237,Daichi Kamada,jp JPN,"MF,FW",22,1996,8000000,180
1289,Dominik Kohr,de GER,MF,25,1994,6000000,183
1305,Filip KostiÄ‡,rs SRB,"DF,MF",26,1992,32000000,184
1748,Obite N'Dicka,fr FRA,DF,19,1999,22500000,192
1873,GonĂ§alo PaciĂŞncia,pt POR,FW,24,1994,12000000,184
2130,Sebastian Rode,de GER,MF,28,1990,4000000,179
2187,Frederik RĂ¸nnow,dk DEN,GK,26,1992,3500000,190
2314,AndrĂ© Silva,pt POR,FW,23,1995,16000000,184
2378,Djibril Sow,ch SUI,MF,22,1997,9000000,184
2512,Lucas TorrĂł,es ESP,"MF,FW",25,1994,2000000,190
2517,Almamy TourĂ©,ml MLI,DF,23,1996,6000000,183
2530,Kevin Trapp,de GER,GK,29,1990,8000000,189
2659,Felix Wiedwald,de GER,GK,29,1990,47500,190
406,Leandro Cabrera,uy URU,DF,28,1991,8000000,190
420,Fernando Calero,es ESP,DF,23,1995,4000000,184
425,Jonathan Calleri,ar ARG,FW,25,1993,6000000,181
435,VĂ­ctor Campuzano,es ESP,FW,22,1997,2000000,174
553,SĂ©bastien Corchia,fr FRA,DF,28,1990,1000000,176
622,Sergi Darder,es ESP,"MF,FW",25,1993,11000000,180
771,Adri Embarba,es ESP,"MF,FW",27,1992,7000000,173
787,Bernardo Espinosa,co COL,DF,30,1989,4000000,192
850,Facundo Ferreyra,ar ARG,FW,28,1991,3000000,183
998,Esteban Granero,es ESP,MF,32,1987,2000000,180
1167,Ander Iturraspe,es ESP,MF,30,1989,2000000,187
1390,Wu Lei,cn CHN,"FW,MF",27,1991,6000000,174
1449,David LĂłpez,es ESP,"DF,MF",29,1989,6000000,185
1450,Diego LĂłpez,es ESP,GK,37,1981,80000,196
1452,Javi LĂłpez,es ESP,DF,33,1986,80000,180
1453,Lluis LĂłpez,es ESP,DF,22,1997,1000000,182
1467,Pol Lozano,es ESP,"MF,FW",19,1999,1000000,176
1625,Ă“scar Melendo,es ESP,"MF,FW",21,1997,6000000,167
1759,Naldo,br BRA,DF,30,1988,1500000,188
1829,Oier OlazĂˇbal,es ESP,GK,29,1989,1000000,189
1922,Pedrosa,es ESP,"DF,MF",21,1998,5000000,172
1936,Victor Perea,es ESP,DF,19,2000,2300000,169
1973,Pablo Piatti,ar ARG,"DF,MF",30,1989,2000000,163
1986,Pipa,es ESP,DF,21,1998,700,175
2097,Nico Ribaudo,es ESP,"FW,MF",18,2001,3000000,173
2128,Marc Roca,es ESP,MF,22,1996,16000000,184
2233,VĂ­ctor SĂˇnchez,es ESP,"MF,DF",31,1987,2000000,174
2366,KĂ©vin Soni,cm CMR,FW,21,1998,20000,183
2497,RaĂşl de TomĂˇs,es ESP,FW,24,1994,16000000,180
2576,MatĂ­as Vargas,ar ARG,"FW,MF",22,1997,9000000,168
2609,DĂ­dac VilĂ ,es ESP,DF,30,1989,3000000,185
165,Leighton Baines,eng ENG,DF,34,1984,1000000,170
281,Bernard,br BRA,"MF,FW",26,1992,15000000,164
358,Jarrad Branthwaite,eng ENG,DF,17,2002,2000000,195
426,Dominic Calvert-Lewin,eng ENG,FW,22,1997,24000000,187
536,SĂ©amus Coleman,ie IRL,DF,30,1988,9500000,177
627,Tom Davies,eng ENG,MF,21,1998,16000000,180
648,Fabian Delph,eng ENG,MF,29,1989,12000000,174
687,Lucas Digne,fr FRA,DF,26,1993,28000000,178
932,Jean-Philippe Gbamin,ci CIV,MF,23,1995,22000000,186
971,AndrĂ© Gomes,pt POR,MF,26,1993,22000000,188
987,Anthony Gordon,eng ENG,"MF,FW",18,2001,1000000,173
1109,Mason Holgate,eng ENG,DF,22,1996,13000000,187
1168,Alex Iwobi,ng NGA,"MF,FW",23,1996,25000000,183
1253,Moise Kean,it ITA,FW,19,2000,25000000,183
1254,Michael Keane,eng ENG,DF,26,1993,20000000,188
1667,Yerry Mina,co COL,DF,24,1994,20000000,195
1790,Oumar Niasse,sn SEN,FW,29,1990,3000000,182
1977,Jordan Pickford,eng ENG,GK,25,1994,28000000,185
2102,Richarlison,br BRA,FW,22,1997,60000000,184
2276,Morgan Schneiderlin,fr FRA,MF,29,1989,9000000,186
2305,Djibril SidibĂ©,fr FRA,DF,27,1992,9000000,182
2310,Gylfi SigurĂ°sson,is ISL,MF,29,1989,18000000,186
2515,Cenk Tosun,tr TUR,FW,28,1991,12000000,183
2635,Theo Walcott,eng ENG,"MF,FW",30,1989,12000000,175
23,Kevin Agudelo,co COL,"MF,FW",20,1998,2000000,178
156,Milan Badelj,hr CRO,MF,30,1989,2000000,186
246,Marco Benassi,it ITA,MF,24,1994,11000000,184
310,Kevin-Prince Boateng,gh GHA,FW,32,1987,3000000,186
355,Federico Brancolini,it ITA,GK,18,2001,30000,192
408,MartĂ­n CĂˇceres,uy URU,DF,32,1987,1000000,180
472,Gaetano Castrovilli,it ITA,MF,22,1997,20000000,187
478,Federico Ceccherini,it ITA,DF,27,1992,2000000,187
505,Federico Chiesa,it ITA,"FW,DF",21,1997,48000000,180
585,SebastiĂˇn CristĂłforo,uy URU,MF,25,1993,1000000,173
596,Patrick Cutrone,it ITA,FW,21,1998,15000000,183
728,Bartłomiej Drągowski,pl POL,GK,21,1997,15000000,191
746,Alfred Duncan,gh GHA,MF,26,1993,13000000,178
799,Valentin Eysseric,fr FRA,MF,27,1992,1000000,181
943,Rachid Ghezzal,dz ALG,"MF,FW",27,1992,5000000,182
1077,Dalbert Henrique,br BRA,DF,25,1993,9000000,181
1144,Igor,br BRA,DF,21,1998,5000000,185
1306,Christian KouamĂ©,ci CIV,FW,21,1997,17000000,185
1425,Pol Lirola,es ESP,DF,21,1997,9000000,183
1659,Nikola MilenkoviÄ‡,rs SRB,DF,21,1997,24000000,195
1835,Maximiliano Olivera,uy URU,DF,27,1992,80000,182
1918,Pedro,br BRA,FW,22,1997,12000000,185
1966,GermĂˇn Pezzella,ar ARG,DF,28,1991,14000000,187
2030,Erick Pulgar,cl CHI,MF,25,1994,12000000,187
2066,Luca Ranieri,it ITA,DF,20,1999,1000000,179
2098,Franck RibĂ©ry,fr FRA,FW,36,1983,3000000,170
2371,Riccardo Sottil,it ITA,"FW,DF",20,1999,3000000,180
2465,Pietro Terracciano,it ITA,GK,29,1990,40000,193
2590,Lorenzo Venuti,it ITA,DF,24,1995,1000000,179
2619,DuĹˇan VlahoviÄ‡,rs SRB,FW,19,2000,16000000,190
2728,Szymon Ĺ»urkowski,pl POL,MF,21,1997,2600000,185
8,Amir Abrashi,al ALB,MF,29,1990,1000000,172
334,Brandon Borrello,au AUS,"MF,FW",24,1995,95000,178
493,Kwon Chang-hoon,kr KOR,"MF,FW",25,1994,2800000,173
857,Mark Flekken,nl NED,GK,26,1993,95000,194
882,Mike Frantz,de GER,"MF,DF",32,1986,65000,182
982,JĂ©rĂ´me Gondorf,de GER,MF,31,1988,60000,176
